player,date,elo_before,rolling_win_pct,last3_win_avg,surface_win_pct,rolling_ace_avg,rolling_minutes_avg,rolling_bp_save,current_elo,last5_1,last5_2,last5_3,last5_4,last5_5
Bernabe Zapata Miralles,2024-03-04,1416.1034697993066,0.125,0.0,0.0,1.5,105.0,0.4890758547008547,1403.4758790771773,0,0.0,0.0,0.0,0.0
Bernard Tomic,2025-10-13,1499.313314558079,0.5,0.5,1.0,7.5,87.0,0.5416666666666666,1488.359639594976,0,1.0,0.0,,
Billy Harris,2026-01-05,1437.5414827876264,0.4,0.3333333333333333,0.1,5.2,112.8,0.6220238095238095,1427.6569831984127,0,1.0,0.0,0.0,0.0
Blaise Bicknell,2025-02-01,1531.263693206478,1.0,1.0,1.0,4.0,75.0,0.6666666666666666,1527.0900461690428,1,0.0,1.0,1.0,
Bor Artnak,2026-02-06,1545.8278203282016,1.0,1.0,1.0,,,,1527.731974486033,0,1.0,1.0,1.0,
Boris Arias,2024-02-03,1500.0,,,,,,,1516.0,1,,,,
Borna Coric,2025-08-24,1374.7379502847098,0.2,0.0,0.2,4.0,119.5,0.5266300366300366,1370.8348866165156,0,0.0,0.0,0.0,0.0
Borna Gojo,2025-05-19,1443.6383915777624,0.14285714285714285,0.0,0.0,9.333333333333334,105.5,0.39305555555555555,1434.292255516853,0,0.0,0.0,0.0,0.0
Botic Van De Zandschulp,2026-05-10,1508.491723355849,0.5,0.5,1.0,5.0,81.0,0.625,1495.760123438084,0,1.0,0.0,,
Botic van de Zandschulp,2026-05-25,1591.9815199153697,0.6,0.6666666666666666,0.8,3.8,117.1,0.5716816516816516,1580.041758326559,0,1.0,0.0,1.0,0.0
Brandon Holt,2025-08-24,1403.7332205477396,0.1,0.0,0.0,5.6,105.9,0.4951587301587302,1392.8524629114722,0,0.0,0.0,0.0,0.0
Brandon Nakashima,2026-05-25,1564.2255772438402,0.4,0.3333333333333333,0.4,8.1,105.4,0.4512345679012346,1576.3806111456017,1,0.0,1.0,0.0,0.0
Branko Djuric,2026-02-06,1464.4094005371437,0.0,0.0,0.0,10.5,89.0,0.5892857142857143,1450.0426991772563,0,0.0,0.0,,
Calvin Hemery,2025-07-14,1500.0,,,,,,,1483.49725451005,0,,,,
Cameron Norrie,2026-05-26,1631.8121700781592,0.5,0.0,0.5,3.6,123.9,0.639032264032264,1612.9819386796876,0,0.0,0.0,0.0,1.0
Camilo Ugo Carabelli,2026-05-27,1530.088752554022,0.5,0.6666666666666666,0.5,3.1,117.6,0.6745230078563412,1521.4385949158857,0,1.0,0.0,1.0,1.0
Carlos Alcaraz,2026-04-15,2033.1439969745504,0.7,0.6666666666666666,0.9,3.4,100.2,0.4460606060606061,2004.0760168697243,0,1.0,0.0,1.0,1.0
Carlos Taberner,2026-01-20,1533.4776771751797,0.5555555555555556,0.6666666666666666,0.5,2.0,126.77777777777777,0.5189338235294118,1518.586927169525,0,1.0,1.0,1.0,0.0
Casper Ruud,2026-05-25,1751.8057596246117,0.8,0.6666666666666666,0.8,2.4,84.1,0.46458333333333335,1756.5760957400316,1,0.0,1.0,1.0,1.0
Cem Ilkel,2024-09-13,1483.2298601853572,0.0,0.0,0.0,3.0,104.0,0.6363636363636364,1453.915783731701,0,0.0,0.0,,
Cesar Cruz,2025-09-13,1484.8284260888624,0.25,0.3333333333333333,0.3333333333333333,1.0,148.0,0.7142857142857143,1455.6514646640426,0,0.0,0.0,1.0,0.0
Cezar Cretu,2025-01-31,1530.9149020009665,1.0,1.0,1.0,9.5,172.0,0.6388888888888888,1545.4582453535986,1,1.0,1.0,,
Charles Broom,2024-07-01,1484.7442274747561,0.0,0.0,0.0,2.0,124.0,0.6666666666666666,1466.3588111365184,0,0.0,,,
Chris Rodesch,2026-02-06,1480.2872752346705,0.42857142857142855,0.3333333333333333,0.5,7.4,101.6,0.49878787878787884,1496.5665345920054,1,0.0,0.0,1.0,0.0
Christopher Bulus,2025-02-01,1500.0,1.0,1.0,1.0,,,,1498.5562076430517,1,0.0,,,
